epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,37.6085,0.37309,0.46828,0.86837,0.9855,1,0.995,0.93758,0.38177,0.43833,0.84732,0.000827782,0.000827782,0.000827782
44,38.4721,0.3983,0.44437,0.86446,0.98254,1,0.995,0.97822,0.32179,0.36825,0.82259,0.000832902,0.000832902,0.000832902
45,39.325,0.38855,0.4341,0.8594,0.98254,1,0.995,0.97822,0.32179,0.36825,0.82259,0.000837361,0.000837361,0.000837361
46,40.1731,0.3399,0.42107,0.84565,0.98297,1,0.995,0.97504,0.30864,0.33114,0.81956,0.00084116,0.00084116,0.00084116
47,41.015,0.33508,0.37572,0.87277,0.98297,1,0.995,0.97504,0.30864,0.33114,0.81956,0.000844299,0.000844299,0.000844299
48,41.8602,0.36517,0.3674,0.86426,0.98325,1,0.995,0.8613,0.35047,0.55303,0.82814,0.000846778,0.000846778,0.000846778
49,89.4788,0.3202,0.35037,0.81892,0.98325,1,0.995,0.8613,0.35047,0.55303,0.82814,0.000848596,0.000848596,0.000848596
50,90.3463,0.3268,0.36944,0.85035,0.98684,0.99074,0.995,0.9399,0.34332,0.45433,0.81684,0.000849755,0.000849755,0.000849755
51,91.1991,0.38266,0.37061,0.87006,0.98684,0.99074,0.995,0.9399,0.34332,0.45433,0.81684,0.000841835,0.000841835,0.000841835
52,92.1036,0.34452,0.36209,0.84671,0.98177,1,0.995,0.96416,0.31039,0.39444,0.81215,0.000825332,0.000825332,0.000825332
53,92.9542,0.33761,0.37081,0.85499,0.98177,1,0.995,0.96416,0.31039,0.39444,0.81215,0.000808828,0.000808828,0.000808828
54,93.8315,0.32825,0.35991,0.83523,0.9883,1,0.995,0.96648,0.27286,0.35111,0.81199,0.000792325,0.000792325,0.000792325
55,94.6864,0.33615,0.37997,0.84062,0.9883,1,0.995,0.96648,0.27286,0.35111,0.81199,0.000775822,0.000775822,0.000775822
56,95.5226,0.34107,0.38527,0.85409,0.99054,1,0.995,0.96152,0.32384,0.31294,0.81794,0.000759318,0.000759318,0.000759318
57,96.3646,0.33481,0.34891,0.85293,0.99054,1,0.995,0.96152,0.32384,0.31294,0.81794,0.000742815,0.000742815,0.000742815
58,97.231,0.33729,0.37782,0.85036,0.9844,1,0.995,0.96188,0.31584,0.30177,0.82277,0.000726312,0.000726312,0.000726312
59,98.0535,0.36933,0.36152,0.8622,0.9844,1,0.995,0.96188,0.31584,0.30177,0.82277,0.000709809,0.000709809,0.000709809
60,98.9398,0.29174,0.32821,0.81174,0.98003,1,0.995,0.95836,0.2854,0.29651,0.81415,0.000693305,0.000693305,0.000693305
61,99.7923,0.31409,0.332,0.80954,0.98003,1,0.995,0.95836,0.2854,0.29651,0.81415,0.000676802,0.000676802,0.000676802
62,100.666,0.33257,0.34809,0.81958,0.98837,1,0.995,0.95685,0.28198,0.30343,0.81352,0.000660299,0.000660299,0.000660299
63,101.487,0.34951,0.36034,0.85263,0.98837,1,0.995,0.95685,0.28198,0.30343,0.81352,0.000643795,0.000643795,0.000643795
64,102.339,0.33242,0.33257,0.85078,0.99087,1,0.995,0.97348,0.28292,0.27811,0.81619,0.000627292,0.000627292,0.000627292
65,103.189,0.35525,0.34283,0.83799,0.99087,1,0.995,0.97348,0.28292,0.27811,0.81619,0.000610789,0.000610789,0.000610789
66,104.085,0.30208,0.31104,0.83389,0.99174,1,0.995,0.96819,0.29567,0.27679,0.8215,0.000594286,0.000594286,0.000594286
67,104.913,0.29159,0.31824,0.84562,0.99174,1,0.995,0.96819,0.29567,0.27679,0.8215,0.000577782,0.000577782,0.000577782
68,105.75,0.29899,0.31079,0.84003,0.9908,1,0.995,0.97486,0.29766,0.27292,0.81891,0.000561279,0.000561279,0.000561279
